N.º de Registo;Autor;Título;Vol.;Editor;Local de Edição;Data de entrada;Modo de Aquisição;Material Acompanhante;;;estantes;prateleira
109;Taro Gomi;Já para o banho!;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
110;Porto Editora;Dicionário básico da língua portuguesa;;Porto Editora;Porto;30/08/2011;Compra;;;;;
111;Porto Editora;Dicionário básico da língua portuguesa;;Porto Editora;Porto;30/08/2011;Compra;;;;;
112;Porto Editora;Dicionário da língua portuguesa;;Porto Editora;Porto;30/08/2011;Compra;;;;;
113;Porto Editora;Acordo ortográfico : as novas regras : todas as palavras que mudam;;Porto Editora;Porto;30/08/2011;Compra;;;;;
114;Porto Editora;Primeiro dicionário iustrado de português - inglês;;Porto Editora;Porto;30/08/2011;Compra;;;;;
115;Porto Editora;Primeiro dicionário iustrado de português - inglês;;Porto Editora;Porto;30/08/2011;Compra;;;;;
116;Porto Editora;Dicionário escolar da língua portuguesa;;Porto Editora;Porto;30/08/2011;Compra;;;;;
117;David Mckee;As cores do Elmer;;Caminho;Alfragide;30/08/2011;Compra;;;;;
118;Michael Grejnice;A que sabe a lua?;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Obras de arte;C
119;Leo Lionni;Quem é?;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
120;Leo Lionni;Onde?;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
121;Maria de Lourdes Tavares Soares;Histórias de longe e de perto;;Paulinas;Prior Velho;30/08/2011;Compra;;;;;
122;Isabel Minhós Martins;Ovelhinha dá-me lã;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
123;Priscilla Hannaford;Casas de animais;;Verbo;[Lisboa];30/08/2011;Compra;;;;;
124;trad. Ana Sabino;Contos de encantar;;Publications International;Londres;30/08/2011;Compra;;;;;
125;il. Bob Filipowich;Animais bebés;;Porto Editora;Porto;30/08/2011;Compra;;;;;
126;Ana Oom;A Princesa e o Sapo;;Zero a Oito;Lisboa;30/08/2011;Compra;;;;;
127;Ana Oom;A Carochinha e o João Ratão;;Zero a Oito;Lisboa;30/08/2011;Compra;;;;;
128;Ana Oom;O Soldadinho de Chumbo;;Zero a Oito;Lisboa;30/08/2011;Compra;;;;;
129;Ana Oom;O Patinho Feio;;Zero a Oito;Lisboa;30/08/2011;Compra;;;;;
130;Ana Oom;O Capuchinho Vermelho;;Zero a Oito;Lisboa;30/08/2011;Compra;;;;;
131;Ana Oom;Os Três Porquinhos;;Zero a Oito;Lisboa;30/08/2011;Compra;;;;;
132;Ana Oom;O macaco de rabo cortado;;Zero a Oito;Lisboa;30/08/2011;Compra;;;;;
133;Ana Oom;Caracóis de Ouro e os Três Ursos;;Zero a Oito;Lisboa;30/08/2011;Compra;;;;;
134;Emilie Beaumont;Pequeno herói : o cavaleiro;;Panini;Girona;30/08/2011;Compra;;;;;
135;revis . Luis Candeias;Os Três Porquinhos = The Three Little Pigs;;Girassol;Abrunheira;30/08/2011;Compra;;;;;
136;trad. e adap. Sara Costa;O Jardim Zoológico;;Asa;Lisboa;30/08/2011;Compra;;;;;
137;Texto Editora;100 palavras em português e inglês : na rua;;Texto;Alfragide;30/08/2011;Compra;;;;;
138;Maria Karolczak;Festa na Savana;;Asa;Alfragide;30/08/2011;Compra;;;;;
139;trad. e adap. Sara Costa;Dinossáuros;;Asa;Alfragide;30/08/2011;Compra;;;;;
140;Maria Karolczak;Que fome!;;Asa;Alfragide;30/08/2011;Compra;;;;;
141;Giovanna Mantegazza;1, 2, 3…10 coelhinhos;;Panini;Girona;30/08/2011;Compra;;;;;
142;Gionanna MantegazzA;Doce ou travessura?;;Panini;Girona;30/08/2011;Compra;;;;;
143;Gionanna MantegazzA;Sobre rodas;;Panini;Girona;30/08/2011;Compra;;;;;
144;Gionanna MantegazzA;Água aguinha;;Panini;Girona;30/08/2011;Compra;;;;;
145;trad. e adap. Sara Costa;Os veículos;;Asa;Alfragide;30/08/2011;Compra;;;;;
146;Emilie Beaumont;O avião do Sebastião;;Livrose Livros;[Lisboa];30/08/2011;Compra;;;;;
147;Emilie Beaumont;Pequeno herói : o índio;;Panini;Girona;30/08/2011;Compra;;;;;
148;Gaby Goldsack;Carrinho relâmpago;;Alêtheia;Lisboa;30/08/2011;Compra;;;;;
149;trad. Leya;Cores;;Texto;Alfragide;30/08/2011;Compra;;;;;
150;Rosário Oliveira;À descoberta de Mértola : os caminhos do tempo e da terra;;ADPM : CADISPA;Mértola;03/10/2011;Oferta;;;;;
151;Maria João Carvalho;Direitos da criança;;Everest;Rio de Mouro;03/10/2011;Compra;;;;;
152;Porto Editora;Descobre o corpo humano;;Porto Editora;Porto;03/10/2011;Compra;;;;;
153;Ana Maria Magalhães, Isabel Alçada;A cidadania de A a Z;;Ministério da Educação;Mem Martins;03/10/2011;Oferta;;;;Pré-Escola;E
154;Martinho Marques;Mais alta a água : o Guadiana e  a nova tradução da terra;;EDIA;[Lisboa];03/10/2011;Oferta;;;;;
155;Alunos do 2.º e 3.º Ciclo da Escola EB1/JI da Malagueira;Contos em viagem;;Diana Litográfica do Alentejo;Évora;03/10/2011;Oferta;;;;;
156;Alunos da EB 1 de S. Mamede;A magia do Natal;;Évoratipo;Évora;03/10/2011;Oferta;;;;;
157;Ana Maria Magalhães, Isabel Alçada;Na crista da onda : o Japão;1;Comissão Nac. Desc. Port. : Grupo de Trab. do Min. de Educ.;Lisboa;03/10/2011;Oferta;;;;;
158;Ana Maria Magalhães, Isabel Alçada;Na crista da onda : D. João II;3;Comissão Nac. Desc. Port. : Grupo de Trab. do Min. de Educ.;Lisboa;03/10/2011;Oferta;;;;;
159;Ana Maria Magalhães, Isabel Alçada;Na crista da onda : Portugueses na Europa;4;Comissão Nac. Desc. Port. : Grupo de Trab. do Min. de Educ.;Lisboa;03/10/2011;Oferta;;;;;
160;Ana Maria Magalhães, Isabel Alçada;Na crista da onda : negócios da China;5;Comissão Nac. Desc. Port. : Grupo de Trab. do Min. de Educ.;Lisboa;03/10/2011;Oferta;;;;;
161;Ana Maria Magalhães, Isabel Alçada;Na crista da onda : D. Manuel I;6;Comissão Nac. Desc. Port. : Grupo de Trab. do Min. de Educ.;Lisboa;03/10/2011;Oferta;;;;;
162;Ana Maria Magalhães, Isabel Alçada;Na crista da onda : as viagens do açúcar;7;Comissão Nac. Desc. Port. : Grupo de Trab. do Min. de Educ.;Lisboa;03/10/2011;Oferta;;;;;
163;Ana Maria Magalhães, Isabel Alçada;Na crista da onda : Macau;12;Comissão Nac. Desc. Port. : Grupo de Trab. do Min. de Educ.;Lisboa;03/10/2011;Oferta;;;;;
164;Ana Maria Magalhães, Isabel Alçada;Na crista da onda : mulheres nos descobrimentos;15;Comissão Nac. Desc. Port. : Grupo de Trab. do Min. de Educ.;Lisboa;03/10/2011;Oferta;;;;;
165;Ana Maria Magalhães, Isabel Alçada;Na crista da onda : os pioneiros da aviação;17;Comissão Nac. Desc. Port. : Grupo de Trab. do Min. de Educ.;Lisboa;03/10/2011;Oferta;;;;;
166;Jorge Luján, Piet Grobler;Oh, as cores!;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;Pré-Escola;E
